Date,Close/Last,Volume,Open,High,Low
10/24/2024,68017.30,N/A,67216.50,68266.60,67832.20
10/23/2024,67266.70,N/A,67074.90,67588.00,66510.60
10/22/2024,67342.30,N/A,67494.00,67441.10,67134.30
10/21/2024,67362.90,N/A,68936.70,67684.00,66609.40
10/20/2024,68883.80,N/A,68187.50,69490.80,68599.20
10/19/2024,68165.60,N/A,68448.70,68444.70,67443.90
10/18/2024,68498.70,N/A,67555.80,68688.80,68306.60
10/17/2024,67633.20,N/A,67604.50,68201.30,67190.90
10/16/2024,67656.30,N/A,67096.70,67933.50,67416.80
10/15/2024,67171.20,N/A,65392.10,67557.20,66766.60
10/14/2024,65448.30,N/A,64277.30,66317.50,65379.00
10/13/2024,64052.60,N/A,62703.20,64186.60,62463.70
10/12/2024,62707.20,N/A,62565.80,63284.60,62680.00
10/11/2024,62538.00,N/A,60612.40,63037.90,62486.10
10/10/2024,60659.60,N/A,60857.10,60698.50,60080.60
10/09/2024,60888.80,N/A,62389.10,60947.50,60370.70
10/08/2024,62369.50,N/A,62624.10,62479.30,62010.10
10/07/2024,62596.40,N/A,63529.70,62802.00,62166.90
10/06/2024,63510.80,N/A,61886.20,63958.30,62670.20
10/05/2024,61920.90,N/A,61861.70,62145.70,61889.50
10/04/2024,61931.30,N/A,60950.60,62192.70,61705.70
10/03/2024,60970.00,N/A,61463.20,61269.60,60469.30
10/02/2024,61336.20,N/A,61748.20,61371.10,60544.00
10/01/2024,61774.40,N/A,63722.20,61877.50,60752.20
09/30/2024,63686.50,N/A,64546.90,63734.10,63007.70
09/29/2024,64520.20,N/A,65817.30,65607.00,64215.20
09/28/2024,65756.20,N/A,65989.00,65980.80,65654.80
09/27/2024,66069.10,N/A,65373.50,66232.50,65732.70
09/26/2024,65355.00,N/A,63502.30,65355.00,64839.20
09/25/2024,63503.90,N/A,64456.80,63537.20,62693.30
09/24/2024,64401.60,N/A,63125.50,64788.50,64018.90
09/23/2024,63130.00,N/A,64350.80,63394.40,62740.80
09/22/2024,64414.30,N/A,63108.50,64723.40,62650.00
09/21/2024,63084.30,N/A,62889.90,63441.20,62836.90
09/20/2024,62952.50,N/A,63705.70,63285.70,62829.20
09/19/2024,63563.70,N/A,62116.00,63563.70,62624.80
09/18/2024,62087.10,N/A,60513.20,62539.80,61596.50
09/17/2024,60579.30,N/A,58056.00,60755.00,59911.20
09/16/2024,58111.10,N/A,58576.10,58342.40,57630.20
09/15/2024,58562.00,N/A,60160.00,59204.30,58138.60
09/14/2024,60145.70,N/A,60295.00,60268.20,59994.10
09/13/2024,60350.70,N/A,58053.00,60609.40,60293.70
09/12/2024,57907.80,N/A,57946.60,58240.70,57882.80
09/11/2024,58259.20,N/A,56926.30,58445.70,57335.50
09/10/2024,56777.60,N/A,56777.30,57726.10,56704.80
09/09/2024,56595.30,N/A,55119.80,57059.90,56584.50
09/08/2024,55184.90,N/A,54340.20,55337.40,54740.20
09/07/2024,54179.00,N/A,52865.60,54819.20,53754.30
09/06/2024,53836.60,N/A,56593.90,54066.60,53754.30
09/05/2024,56680.20,N/A,57123.40,56844.80,55996.70
09/04/2024,57118.70,N/A,56653.40,58318.90,56956.40
